,customerid,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,segment
1253,13614,24,6,2359.19,4,3,4,11,Loyal Customers
1254,13615,319,8,6272.53,2,4,5,11,Loyal Customers
1255,13616,568,2,288.1,1,2,1,4,At Risk
1256,13617,40,8,1278.75,4,4,4,12,Loyal Customers
1257,13618,174,1,177.34,3,1,1,5,At Risk
1258,13619,545,2,231.69,1,2,1,4,At Risk
1259,13620,528,1,112.34,1,1,1,3,At Risk
1260,13621,117,1,213.85,3,1,1,5,At Risk
1261,13622,696,1,658.95,1,1,3,5,At Risk
1262,13623,31,10,2566.49,4,4,4,12,Loyal Customers
1263,13624,388,1,462.08,2,1,2,5,At Risk
1264,13625,597,1,301.26,1,1,2,4,At Risk
1265,13626,253,2,707.04,2,2,3,7,Needs Attention
1266,13627,59,7,2245.9,4,3,4,11,Loyal Customers
1267,13628,676,1,310.14,1,1,2,4,At Risk
1268,13629,23,19,13370.86,4,5,5,14,Champions
1269,13630,5,7,2031.78,5,3,4,12,Loyal Customers
1270,13631,100,11,3070.42,3,4,5,12,Loyal Customers
1271,13632,25,8,3648.15,4,4,5,13,Champions
1272,13634,33,16,5073.47,4,5,5,14,Champions
1273,13635,68,4,2999.16,3,3,5,11,Loyal Customers
1274,13636,37,5,949.12,4,3,3,10,Loyal Customers
1275,13637,52,3,810.5,4,2,3,9,Needs Attention
1276,13638,16,1,122.64,5,1,1,7,Needs Attention
1277,13639,74,2,1346.27,3,2,4,9,Needs Attention
1278,13640,611,1,405.0,1,1,2,4,At Risk
1279,13641,641,5,1016.47,1,3,3,7,Needs Attention
1280,13642,216,4,514.72,2,3,2,7,Needs Attention
1281,13643,31,10,2156.77,4,4,4,12,Loyal Customers
1282,13644,16,4,2624.26,5,3,4,12,Loyal Customers
1283,13645,120,1,252.1,3,1,1,5,At Risk
1284,13646,400,2,326.25,2,2,2,6,At Risk
1285,13647,10,8,3071.68,5,4,5,14,Champions
1286,13648,400,8,1764.02,2,4,4,10,Loyal Customers
1287,13649,257,6,1678.88,2,3,4,9,Needs Attention
1288,13650,17,10,3288.0,5,4,5,14,Champions
1289,13651,35,3,226.85,4,2,1,7,Needs Attention
1290,13652,46,5,2570.85,4,3,4,11,Loyal Customers
1291,13653,488,1,152.2,1,1,1,3,At Risk
1292,13654,43,11,6308.0,4,4,5,13,Champions
1293,13655,114,6,2280.51,3,3,4,10,Loyal Customers
1294,13656,165,4,1078.85,3,3,3,9,Needs Attention
1295,13657,11,2,382.14,5,2,2,9,Needs Attention
1296,13658,10,9,6025.5,5,4,5,14,Champions
1297,13659,206,12,4894.88,2,4,5,11,Loyal Customers
1298,13660,400,1,314.59,2,1,2,5,At Risk
1299,13661,603,1,325.24,1,1,2,4,At Risk
1300,13662,86,11,2250.11,3,4,4,11,Loyal Customers
1301,13663,179,5,2047.51,3,3,4,10,Loyal Customers
1302,13665,386,3,1711.6599999999999,2,2,4,8,Needs Attention
1303,13666,60,5,127.89999999999999,3,3,1,7,Needs Attention
1304,13667,149,1,305.02,3,1,2,6,At Risk
1305,13668,3,35,13089.94,5,5,5,15,Champions
1306,13669,51,3,413.55,4,2,2,8,Needs Attention
1307,13670,75,1,349.7,3,1,2,6,At Risk
1308,13671,395,1,194.95,2,1,1,4,At Risk
1309,13672,301,3,419.92,2,2,2,6,At Risk
1310,13673,19,2,396.92,5,2,2,9,Needs Attention
1311,13674,433,1,240.68,1,1,1,3,At Risk
1312,13675,151,2,486.82000000000005,3,2,2,7,Needs Attention
1313,13676,539,2,243.9,1,2,1,4,At Risk
1314,13677,405,2,556.1899999999999,2,2,2,6,At Risk
1315,13678,152,1,232.6,3,1,1,5,At Risk
1316,13679,494,3,281.26,1,2,1,4,At Risk
1317,13680,1,12,11435.67,5,4,5,14,Champions
1318,13681,18,4,827.83,5,3,3,11,Loyal Customers
1319,13682,187,1,59.5,3,1,1,5,At Risk
1320,13683,458,1,258.6,1,1,1,3,At Risk
1321,13684,286,4,596.98,2,3,2,7,Needs Attention
1322,13685,3,7,3119.44,5,3,5,13,Champions
1323,13686,183,3,409.04,3,2,2,7,Needs Attention
1324,13687,438,1,11880.84,1,1,5,7,Needs Attention
1325,13688,635,1,375.5,1,1,2,4,At Risk
1326,13689,63,2,1259.5,3,2,4,9,Needs Attention
1327,13690,59,1,172.25,4,1,1,6,At Risk
1328,13691,396,1,212.78,2,1,1,4,At Risk
1329,13692,25,5,3114.4,4,3,5,12,Loyal Customers
1330,13693,374,9,2011.82,2,4,4,10,Loyal Customers
1331,13694,4,143,196482.81,5,5,5,15,Champions
1332,13695,31,16,2770.73,4,5,4,13,Champions
1333,13696,422,3,2020.4,1,2,4,7,Needs Attention
1334,13697,39,1,151.29999999999998,4,1,1,6,At Risk
1335,13698,597,2,465.53000000000003,1,2,2,5,At Risk
1336,13699,155,2,764.15,3,2,3,8,Needs Attention
1337,13700,26,13,2613.46,4,4,4,12,Loyal Customers
1338,13701,447,1,161.0,1,1,1,3,At Risk
1339,13702,446,1,135.18,1,1,1,3,At Risk
1340,13703,318,2,425.56,2,2,2,6,At Risk
1341,13704,5,9,2308.06,5,4,4,13,Champions
1342,13705,8,7,2035.33,5,3,4,12,Loyal Customers
1343,13706,303,2,631.17,2,2,3,7,Needs Attention
1344,13707,267,5,3365.86,2,3,5,10,Loyal Customers
1345,13708,271,1,296.88,2,1,2,5,At Risk
1346,13709,4,18,7591.75,5,5,5,15,Champions
1347,13710,32,3,509.52,4,2,2,8,Needs Attention
1348,13711,219,9,1792.26,2,4,4,10,Loyal Customers
1349,13712,247,2,766.42,2,2,3,7,Needs Attention
1350,13713,408,3,743.26,2,2,3,7,Needs Attention
1351,13714,465,1,161.35,1,1,1,3,At Risk
1352,13715,281,17,8483.29,2,5,5,12,Loyal Customers
1353,13716,269,1,138.28,2,1,1,4,At Risk
1354,13717,32,8,1763.3,4,4,4,12,Loyal Customers
1355,13718,246,2,306.55,2,2,2,6,At Risk
1356,13719,15,11,2815.25,5,4,4,13,Champions
1357,13720,117,4,799.9,3,3,3,9,Needs Attention
1358,13721,36,2,741.54,4,2,3,9,Needs Attention
1359,13722,132,10,5635.41,3,4,5,12,Loyal Customers
1360,13723,217,6,1209.2,2,3,3,8,Needs Attention
1361,13724,637,1,213.01,1,1,1,3,At Risk
1362,13725,50,8,1980.56,4,4,4,12,Loyal Customers
1363,13726,39,2,1079.6599999999999,4,2,3,9,Needs Attention
1364,13727,29,8,1080.05,4,4,3,11,Loyal Customers
1365,13728,37,16,2855.17,4,5,4,13,Champions
1366,13729,436,3,724.73,1,2,3,6,At Risk
1367,13730,136,2,752.6,3,2,3,8,Needs Attention
1368,13731,219,2,610.59,2,2,2,6,At Risk
1369,13732,28,1,491.86,4,1,2,7,Needs Attention
1370,13733,411,2,487.03000000000003,1,2,2,5,At Risk
1371,13734,509,4,6701.640000000001,1,3,5,9,Needs Attention
1372,13735,25,13,9813.22,4,4,5,13,Champions
1373,13736,5,7,2766.21,5,3,4,12,Loyal Customers
1374,13737,200,1,339.59999999999997,2,1,2,5,At Risk
1375,13738,396,1,440.93,2,1,2,5,At Risk
1376,13739,18,2,292.2,5,2,2,9,Needs Attention
1377,13740,241,5,1597.77,2,3,4,9,Needs Attention
1378,13741,72,3,668.4300000000001,3,2,3,8,Needs Attention
1379,13742,17,12,3131.02,5,4,5,14,Champions
1380,13743,3,7,1341.6,5,3,4,12,Loyal Customers
1381,13744,95,2,1156.36,3,2,3,8,Needs Attention
1382,13745,162,2,777.36,3,2,3,8,Needs Attention
1383,13746,414,1,176.69,1,1,1,3,At Risk
1384,13747,374,2,249.39999999999998,2,2,1,5,At Risk
1385,13748,96,9,2268.35,3,4,4,11,Loyal Customers
1386,13750,54,11,3602.1800000000003,4,4,5,13,Champions
1387,13751,288,1,296.25,2,1,2,5,At Risk
1388,13752,124,7,1590.73,3,3,4,10,Loyal Customers
1389,13753,288,4,2094.57,2,3,4,9,Needs Attention
1390,13754,152,3,447.05,3,2,2,7,Needs Attention
1391,13755,4,9,2161.35,5,4,4,13,Champions
1392,13756,2,23,9207.5,5,5,5,15,Champions
1393,13757,675,1,195.55,1,1,1,3,At Risk
1394,13758,12,15,9416.98,5,5,5,15,Champions
1395,13759,33,2,659.4100000000001,4,2,3,9,Needs Attention
1396,13760,54,5,1363.6399999999999,4,3,4,11,Loyal Customers
1397,13761,50,6,1952.17,4,3,4,11,Loyal Customers
1398,13762,219,5,2472.48,2,3,4,9,Needs Attention
1399,13763,63,3,5217.4400000000005,3,2,5,10,Loyal Customers
1400,13764,71,6,2953.26,3,3,4,10,Loyal Customers
1401,13765,653,1,352.821,1,1,2,4,At Risk
1402,13766,495,1,190.35,1,1,1,3,At Risk
1403,13767,2,73,35540.53,5,5,5,15,Champions
1404,13768,727,2,875.97,1,2,3,6,At Risk
1405,13769,2,20,5800.42,5,5,5,15,Champions
1406,13770,422,4,785.37,1,3,3,7,Needs Attention
1407,13771,64,9,5728.82,3,4,5,12,Loyal Customers
1408,13772,34,8,3114.22,4,4,5,13,Champions
1409,13773,397,2,301.54,2,2,2,6,At Risk
1410,13774,82,1,345.0,3,1,2,6,At Risk
1411,13775,591,1,1049.66,1,1,3,5,At Risk
1412,13776,428,2,623.98,1,2,3,6,At Risk
1413,13777,1,61,56478.42,5,5,5,15,Champions
1414,13778,103,4,1124.49,3,3,3,9,Needs Attention
1415,13779,516,1,161.13,1,1,1,3,At Risk
1416,13780,7,3,735.82,5,2,3,10,Loyal Customers
1417,13781,251,3,778.83,2,2,3,7,Needs Attention
1418,13782,13,13,1793.72,5,4,4,13,Champions
1419,13783,488,4,1542.09,1,3,4,8,Needs Attention
1420,13784,10,14,2910.23,5,5,4,14,Champions
1421,13785,429,4,542.49,1,3,2,6,At Risk
1422,13786,367,6,3358.94,2,3,5,10,Loyal Customers
1423,13787,76,6,1222.5,3,3,3,9,Needs Attention
1424,13788,505,1,3.75,1,1,1,3,At Risk
1425,13789,388,1,239.45999999999998,2,1,1,4,At Risk
1426,13790,4,1,348.8,5,1,2,8,Needs Attention
1427,13791,128,2,1516.0,3,2,4,9,Needs Attention
1428,13792,66,3,383.95,3,2,2,7,Needs Attention
1429,13793,647,1,96.0,1,1,1,3,At Risk
1430,13794,547,1,126.03,1,1,1,3,At Risk
1431,13795,388,4,836.3,2,3,3,8,Needs Attention
1432,13796,499,1,289.7,1,1,1,3,At Risk
1433,13797,437,3,1179.45,1,2,3,6,At Risk
1434,13798,1,110,75836.87,5,5,5,15,Champions
1435,13799,117,9,2803.57,3,4,4,11,Loyal Customers
1436,13800,310,3,1679.56,2,2,4,8,Needs Attention
1437,13801,67,1,324.8,3,1,2,6,At Risk
1438,13802,139,19,26259.11,3,5,5,13,Champions
1439,13803,255,3,1338.91,2,2,4,8,Needs Attention
1440,13804,31,9,3208.52,4,4,5,13,Champions
1441,13805,52,2,924.6,4,2,3,9,Needs Attention
1442,13806,64,1,256.38,3,1,1,5,At Risk
1443,13807,367,3,534.8,2,2,2,6,At Risk
1444,13808,6,5,1747.66,5,3,4,12,Loyal Customers
1445,13809,305,3,679.7,2,2,3,7,Needs Attention
1446,13810,29,3,1499.01,4,2,4,10,Loyal Customers
1447,13811,184,3,814.5,3,2,3,8,Needs Attention
1448,13812,42,3,539.0,4,2,2,8,Needs Attention
1449,13813,40,8,2765.47,4,4,4,12,Loyal Customers
1450,13814,92,3,2257.32,3,2,4,9,Needs Attention
1451,13815,22,8,7475.74,4,4,5,13,Champions
1452,13816,24,2,571.6700000000001,4,2,2,8,Needs Attention
1453,13817,29,2,382.98,4,2,2,8,Needs Attention
1454,13818,430,1,61.28,1,1,1,3,At Risk
1455,13819,302,6,2642.35,2,3,4,9,Needs Attention
1456,13820,418,3,660.65,1,2,3,6,At Risk
1457,13821,145,6,1410.73,3,3,4,10,Loyal Customers
1458,13822,6,2,632.0,5,2,3,10,Loyal Customers
1459,13823,19,7,3403.4500000000003,5,3,5,13,Champions
1460,13824,33,12,3314.76,4,4,5,13,Champions
1461,13825,622,2,255.59,1,2,1,4,At Risk
1462,13826,176,1,189.5,3,1,1,5,At Risk
1463,13827,58,3,412.05,4,2,2,8,Needs Attention
1464,13828,22,1,209.49,4,1,1,6,At Risk
1465,13829,421,1,102.0,1,1,1,3,At Risk
1466,13830,582,1,156.85000000000002,1,1,1,3,At Risk
1467,13831,16,18,7023.58,5,5,5,15,Champions
1468,13832,19,2,613.6899999999999,5,2,2,9,Needs Attention
1469,13833,159,2,701.36,3,2,3,8,Needs Attention
1470,13834,577,2,324.19,1,2,2,5,At Risk
1471,13835,25,7,1095.27,4,3,3,10,Loyal Customers
1472,13836,399,2,620.37,2,2,3,7,Needs Attention
1473,13837,212,2,271.24,2,2,1,5,At Risk
1474,13838,6,10,1966.09,5,4,4,13,Champions
1475,13839,486,1,139.95000000000002,1,1,1,3,At Risk
1476,13840,416,1,651.4,1,1,3,5,At Risk
1477,13841,253,1,85.0,2,1,1,4,At Risk
1478,13842,59,18,5629.91,4,5,5,14,Champions
1479,13843,381,1,319.75,2,1,2,5,At Risk
1480,13844,11,1,361.62,5,1,2,8,Needs Attention
1481,13845,65,1,312.98,3,1,2,6,At Risk
1482,13846,25,4,1307.79,4,3,4,11,Loyal Customers
1483,13847,720,1,310.72,1,1,2,4,At Risk
1484,13848,92,8,3335.0,3,4,5,12,Loyal Customers
1485,13849,52,5,3469.3,4,3,5,12,Loyal Customers
1486,13850,129,1,1595.48,3,1,4,8,Needs Attention
1487,13851,96,8,4606.46,3,4,5,12,Loyal Customers
1488,13852,611,1,187.35000000000002,1,1,1,3,At Risk
1489,13853,57,1,1090.14,4,1,3,8,Needs Attention
1490,13854,9,39,12253.96,5,5,5,15,Champions
1491,13855,501,4,1310.3400000000001,1,3,4,8,Needs Attention
1492,13856,169,11,1142.03,3,4,3,10,Loyal Customers
1493,13857,393,6,1001.01,2,3,3,8,Needs Attention
1494,13858,57,1,216.17,4,1,1,6,At Risk
1495,13859,326,2,515.86,2,2,2,6,At Risk
1496,13860,1,5,1245.9,5,3,3,11,Loyal Customers
1497,13861,429,2,273.26,1,2,1,4,At Risk
1498,13862,18,9,2556.09,5,4,4,13,Champions
1499,13863,248,4,1239.55,2,3,3,8,Needs Attention
1500,13864,387,1,662.4000000000001,2,1,3,6,At Risk
1501,13865,58,4,501.56,4,3,2,9,Needs Attention
1502,13866,74,1,145.67000000000002,3,1,1,5,At Risk
1503,13867,31,3,1015.29,4,2,3,9,Needs Attention
1504,13868,7,2,3192.54,5,2,5,12,Loyal Customers
1505,13869,123,10,8111.57,3,4,5,12,Loyal Customers
1506,13870,2,15,5712.08,5,5,5,15,Champions
1507,13871,23,17,7885.85,4,5,5,14,Champions
1508,13872,527,3,919.57,1,2,3,6,At Risk
1509,13873,120,8,1038.92,3,4,3,10,Loyal Customers
1510,13874,358,7,2049.15,2,3,4,9,Needs Attention
1511,13875,54,14,4814.37,4,5,5,14,Champions
1512,13876,64,1,122.7,3,1,1,5,At Risk
1513,13877,86,3,449.68,3,2,2,7,Needs Attention
1514,13878,55,4,2473.06,4,3,4,11,Loyal Customers
1515,13879,646,1,395.5,1,1,2,4,At Risk
1516,13880,21,17,4391.66,4,5,5,14,Champions
1517,13881,4,43,45179.1,5,5,5,15,Champions
1518,13882,3,5,1191.13,5,3,3,11,Loyal Customers
1519,13883,11,15,6560.02,5,5,5,15,Champions
1520,13884,7,10,1888.48,5,4,4,13,Champions
1521,13885,189,2,506.8,3,2,2,7,Needs Attention
1522,13886,71,1,243.56,3,1,1,5,At Risk
1523,13887,204,1,349.55,2,1,2,5,At Risk
1524,13888,120,7,2169.05,3,3,4,10,Loyal Customers
1525,13889,93,6,1991.23,3,3,4,10,Loyal Customers
1526,13890,1,14,2927.38,5,5,4,14,Champions
1527,13891,378,3,863.5600000000001,2,2,3,7,Needs Attention
1528,13892,27,6,1267.6499999999999,4,3,4,11,Loyal Customers
1529,13893,298,1,821.1,2,1,3,6,At Risk
1530,13894,24,3,564.62,4,2,2,8,Needs Attention
1531,13895,28,6,4008.52,4,3,5,12,Loyal Customers
1532,13896,626,1,388.55,1,1,2,4,At Risk
1533,13897,50,3,1160.72,4,2,3,9,Needs Attention
1534,13898,326,2,686.4,2,2,3,7,Needs Attention
1535,13899,16,2,388.52,5,2,2,9,Needs Attention
1536,13900,183,6,1610.59,3,3,4,10,Loyal Customers
1537,13901,72,15,5676.34,3,5,5,13,Champions
1538,13902,632,5,34095.26,1,3,5,9,Needs Attention
1539,13903,400,1,165.45000000000002,2,1,1,4,At Risk
1540,13904,37,2,332.64,4,2,2,8,Needs Attention
1541,13905,733,1,312.65,1,1,2,4,At Risk
1542,13906,409,1,42.0,2,1,1,4,At Risk
1543,13907,692,1,136.8,1,1,1,3,At Risk
1544,13908,80,4,2369.55,3,3,4,10,Loyal Customers
1545,13909,423,2,286.6,1,2,1,4,At Risk
1546,13911,57,20,4234.99,4,5,5,14,Champions
1547,13912,424,1,124.95,1,1,1,3,At Risk
1548,13913,507,1,42.22,1,1,1,3,At Risk
1549,13914,12,2,626.45,5,2,3,10,Loyal Customers
1550,13915,394,1,70.80000000000001,2,1,1,4,At Risk
1551,13916,464,4,1275.81,1,3,4,8,Needs Attention
1552,13917,50,2,272.04,4,2,1,7,Needs Attention
1553,13918,50,2,1212.8400000000001,4,2,3,9,Needs Attention
1554,13919,59,4,1360.68,4,3,4,11,Loyal Customers
1555,13920,432,4,1774.68,1,3,4,8,Needs Attention
1556,13921,402,4,730.7,2,3,3,8,Needs Attention
1557,13922,352,3,865.2,2,2,3,7,Needs Attention
1558,13923,54,1,351.13,4,1,2,7,Needs Attention
1559,13924,2,6,1838.8500000000001,5,3,4,12,Loyal Customers
1560,13925,93,4,678.25,3,3,3,9,Needs Attention
1561,13926,23,1,223.85000000000002,4,1,1,6,At Risk
1562,13927,75,2,708.26,3,2,3,8,Needs Attention
1563,13928,11,4,464.57,5,3,2,10,Loyal Customers
1564,13929,169,11,3494.1,3,4,5,12,Loyal Customers
1565,13930,58,2,337.34,4,2,2,8,Needs Attention
1566,13931,96,11,5257.38,3,4,5,12,Loyal Customers
1567,13932,295,1,307.4,2,1,2,5,At Risk
1568,13933,109,2,608.7900000000001,3,2,2,7,Needs Attention
1569,13934,264,1,922.1,2,1,3,6,At Risk
1570,13935,597,3,6116.92,1,2,5,8,Needs Attention
1571,13936,180,3,939.66,3,2,3,8,Needs Attention
1572,13937,169,2,880.13,3,2,3,8,Needs Attention
1573,13938,35,1,71.66,4,1,1,6,At Risk
1574,13939,23,7,1560.96,4,3,4,11,Loyal Customers
1575,13940,17,4,839.14,5,3,3,11,Loyal Customers
1576,13941,22,15,11122.300000000001,4,5,5,14,Champions
1577,13942,535,1,320.0,1,1,2,4,At Risk
1578,13943,578,1,246.54,1,1,1,3,At Risk
1579,13944,653,1,200.43,1,1,1,3,At Risk
1580,13945,395,2,854.15,2,2,3,7,Needs Attention
1581,13946,79,6,1876.23,3,3,4,10,Loyal Customers
1582,13947,65,1,90.6,3,1,1,5,At Risk
1583,13948,361,4,548.76,2,3,2,7,Needs Attention
1584,13949,3,6,2427.32,5,3,4,12,Loyal Customers
1585,13950,11,4,745.06,5,3,3,11,Loyal Customers
1586,13951,176,3,674.45,3,2,3,8,Needs Attention
1587,13952,218,14,12823.521,2,5,5,12,Loyal Customers
1588,13953,7,12,6640.68,5,4,5,14,Champions
1589,13954,2,2,439.92,5,2,2,9,Needs Attention
1590,13955,154,3,545.17,3,2,2,7,Needs Attention
1591,13956,5,5,1026.42,5,3,3,11,Loyal Customers
1592,13957,418,3,458.25,1,2,2,5,At Risk
1593,13958,380,8,4709.2300000000005,2,4,5,11,Loyal Customers
1594,13959,79,6,1076.18,3,3,3,9,Needs Attention
1595,13960,21,2,230.22,4,2,1,7,Needs Attention
1596,13961,392,1,538.4,2,1,2,5,At Risk
1597,13962,22,3,362.8,4,2,2,8,Needs Attention
1598,13963,308,17,3011.87,2,5,5,12,Loyal Customers
1599,13964,387,2,438.9,2,2,2,6,At Risk
1600,13965,477,3,996.61,1,2,3,6,At Risk
1601,13966,435,1,390.86,1,1,2,4,At Risk
1602,13967,146,2,166.3,3,2,1,6,At Risk
1603,13968,423,1,123.66,1,1,1,3,At Risk
1604,13969,7,35,13365.87,5,5,5,15,Champions
1605,13970,386,2,846.55,2,2,3,7,Needs Attention
1606,13971,19,14,4667.57,5,5,5,15,Champions
1607,13972,71,2,190.25,3,2,1,6,At Risk
1608,13973,287,1,264.7,2,1,1,4,At Risk
1609,13974,49,2,677.72,4,2,3,9,Needs Attention
1610,13975,31,12,5358.84,4,4,5,13,Champions
1611,13976,207,4,1192.36,2,3,3,8,Needs Attention
1612,13977,411,1,519.8100000000001,1,1,2,4,At Risk
1613,13978,15,2,196.79000000000002,5,2,1,8,Needs Attention
1614,13979,73,7,3416.23,3,3,5,11,Loyal Customers
1615,13980,60,5,799.92,3,3,3,9,Needs Attention
1616,13981,416,1,331.14,1,1,2,4,At Risk
1617,13982,39,9,4445.59,4,4,5,13,Champions
1618,13983,30,21,7108.45,4,5,5,14,Champions
1619,13984,27,12,2048.6,4,4,4,12,Loyal Customers
1620,13985,4,22,10020.86,5,5,5,15,Champions
1621,13986,17,1,320.46,5,1,2,8,Needs Attention
1622,13987,380,2,682.54,2,2,3,7,Needs Attention
1623,13988,20,8,4757.8,4,4,5,13,Champions
1624,13989,66,5,2026.06,3,3,4,10,Loyal Customers
1625,13990,213,1,311.3,2,1,2,5,At Risk
1626,13991,12,6,855.97,5,3,3,11,Loyal Customers
1627,13992,30,3,219.5,4,2,1,7,Needs Attention
1628,13993,43,19,6775.71,4,5,5,14,Champions
1629,13994,4,6,2313.14,5,3,4,12,Loyal Customers
1630,13995,15,14,3902.01,5,5,5,15,Champions
1631,13996,386,2,895.76,2,2,3,7,Needs Attention
1632,13997,519,3,382.31,1,2,2,5,At Risk
1633,13998,447,3,566.7,1,2,2,5,At Risk
1634,13999,10,29,9502.26,5,5,5,15,Champions
1635,14000,211,5,2046.3400000000001,2,3,4,9,Needs Attention
1636,14001,46,9,4530.09,4,4,5,13,Champions
1637,14002,134,2,529.73,3,2,2,7,Needs Attention
1638,14003,733,1,209.41,1,1,1,3,At Risk
1639,14004,43,11,6258.45,4,4,5,13,Champions
1640,14005,10,5,2874.72,5,3,4,12,Loyal Customers
1641,14006,116,7,2196.67,3,3,4,10,Loyal Customers
1642,14007,513,1,79.48,1,1,1,3,At Risk
1643,14008,432,1,509.04,1,1,2,4,At Risk
1644,14009,198,3,1099.91,2,2,3,7,Needs Attention
1645,14010,565,2,445.15,1,2,2,5,At Risk
1646,14011,480,2,457.82,1,2,2,5,At Risk
1647,14012,278,1,328.8,2,1,2,5,At Risk
1648,14013,110,5,1084.57,3,3,3,9,Needs Attention
1649,14014,77,3,1948.21,3,2,4,9,Needs Attention
1650,14015,53,1,917.34,4,1,3,8,Needs Attention
1651,14016,162,11,11403.41,3,4,5,12,Loyal Customers
1652,14017,571,1,229.75,1,1,1,3,At Risk
1653,14018,645,1,367.15000000000003,1,1,2,4,At Risk
1654,14019,47,3,1421.61,4,2,4,10,Loyal Customers
1655,14020,17,4,1249.01,5,3,4,12,Loyal Customers
1656,14021,155,7,1716.58,3,3,4,10,Loyal Customers
1657,14022,225,2,792.15,2,2,3,7,Needs Attention
1658,14023,7,2,584.07,5,2,2,9,Needs Attention
1659,14024,122,3,645.74,3,2,3,8,Needs Attention
1660,14025,465,8,4057.9,1,4,5,10,Loyal Customers
1661,14026,471,2,713.11,1,2,3,6,At Risk
1662,14027,61,1,104.82,3,1,1,5,At Risk
1663,14028,550,3,10396.5,1,2,5,8,Needs Attention
1664,14029,63,2,467.66,3,2,2,7,Needs Attention
1665,14030,18,20,8262.29,5,5,5,15,Champions
1666,14031,7,44,40999.17,5,5,5,15,Champions
1667,14032,2,16,4850.2699999999995,5,5,5,15,Champions
1668,14033,555,1,109.44,1,1,1,3,At Risk
1669,14034,22,3,651.8199999999999,4,2,3,9,Needs Attention
1670,14035,29,9,2856.72,4,4,4,12,Loyal Customers
1671,14036,285,1,626.65,2,1,3,6,At Risk
1672,14037,176,6,836.95,3,3,3,9,Needs Attention
1673,14038,78,5,3069.88,3,3,5,11,Loyal Customers
1674,14039,33,2,267.28000000000003,4,2,1,7,Needs Attention
1675,14040,41,35,12645.57,4,5,5,14,Champions
1676,14041,266,1,141.41,2,1,1,4,At Risk
1677,14042,725,1,431.98,1,1,2,4,At Risk
1678,14043,491,2,304.25,1,2,2,5,At Risk
1679,14044,27,10,3123.1,4,4,5,13,Champions
1680,14045,109,16,11313.029999999999,3,5,5,13,Champions
1681,14046,284,1,154.99,2,1,1,4,At Risk
1682,14047,9,14,4255.03,5,5,5,15,Champions
1683,14048,305,3,748.69,2,2,3,7,Needs Attention
1684,14049,17,13,13239.03,5,4,5,14,Champions
1685,14050,32,2,746.36,4,2,3,9,Needs Attention
1686,14051,1,37,22434.0,5,5,5,15,Champions
1687,14052,20,2,480.81,4,2,2,8,Needs Attention
1688,14053,124,4,572.3,3,3,2,8,Needs Attention
1689,14054,65,1,92.46,3,1,1,5,At Risk
1690,14055,106,3,1520.96,3,2,4,9,Needs Attention
1691,14056,1,23,8214.65,5,5,5,15,Champions
1692,14057,24,22,8408.84,4,5,5,14,Champions
1693,14058,463,2,469.19,1,2,2,5,At Risk
1694,14059,267,1,183.6,2,1,1,4,At Risk
1695,14060,5,30,9519.08,5,5,5,15,Champions
1696,14061,507,3,917.4300000000001,1,2,3,6,At Risk
1697,14062,10,24,25604.2,5,5,5,15,Champions
1698,14063,438,9,22710.2,1,4,5,10,Loyal Customers
1699,14064,29,15,3332.42,4,5,5,14,Champions
1700,14065,389,3,891.02,2,2,3,7,Needs Attention
1701,14066,267,1,152.55,2,1,1,4,At Risk
1702,14067,64,2,374.7,3,2,2,7,Needs Attention
1703,14068,320,4,1528.3700000000001,2,3,4,9,Needs Attention
1704,14069,515,2,230.06,1,2,1,4,At Risk
1705,14070,685,1,326.55,1,1,2,4,At Risk
1706,14071,4,8,1438.82,5,4,4,13,Champions
1707,14072,667,1,390.85,1,1,2,4,At Risk
1708,14073,32,1,151.04,4,1,1,6,At Risk
1709,14074,623,1,219.39999999999998,1,1,1,3,At Risk
1710,14075,5,6,1734.87,5,3,4,12,Loyal Customers
1711,14076,129,1,122.47,3,1,1,5,At Risk
1712,14077,41,6,615.0799999999999,4,3,2,9,Needs Attention
1713,14078,102,9,1692.6299999999999,3,4,4,11,Loyal Customers
1714,14079,125,2,618.73,3,2,3,8,Needs Attention
1715,14080,33,5,1115.68,4,3,3,10,Loyal Customers
1716,14081,302,10,5370.1,2,4,5,11,Loyal Customers
1717,14082,365,2,413.36,2,2,2,6,At Risk
1718,14083,4,11,1407.26,5,4,4,13,Champions
1719,14084,512,1,150.5,1,1,1,3,At Risk
1720,14085,2,33,10104.97,5,5,5,15,Champions
1721,14086,463,1,39.95,1,1,1,3,At Risk
1722,14087,3,3,846.22,5,2,3,10,Loyal Customers
1723,14088,10,16,64036.8,5,5,5,15,Champions
1724,14089,57,1,161.0,4,1,1,6,At Risk
1725,14090,325,1,76.32000000000001,2,1,1,4,At Risk
1726,14091,654,2,9530.08,1,2,5,8,Needs Attention
1727,14092,8,24,7229.45,5,5,5,15,Champions
1728,14093,12,1,442.85,5,1,2,8,Needs Attention
1729,14094,440,1,335.22,1,1,2,4,At Risk
1730,14095,723,1,2.95,1,1,1,3,At Risk
1731,14096,4,17,65164.79,5,5,5,15,Champions
1732,14097,481,2,422.85999999999996,1,2,2,5,At Risk
1733,14098,37,1,147.35,4,1,1,6,At Risk
1734,14099,16,20,5765.71,5,5,5,15,Champions
1735,14100,138,1,194.9,3,1,1,5,At Risk
